date,open,high,low,close,volume,source,label,ticker
2020-03-17,10337.919,10449.327,9885.861,10202.753,44916428758,akshare,深证成指,sz399001
2020-03-18,10294.955,10479.783,10029.568,10029.568,45258080567,akshare,深证成指,sz399001
2020-03-19,10023.121,10101.804,9719.492,10019.858,43223774821,akshare,深证成指,sz399001
2020-03-20,10150.784,10174.509,9964.286,10150.125,38004697447,akshare,深证成指,sz399001
2020-03-23,9828.898,9929.964,9659.348,9691.534,38811461512,akshare,深证成指,sz399001
2020-03-24,9900.221,9945.92,9634.968,9921.683,39835928443,akshare,深证成指,sz399001
2020-03-25,10171.465,10255.579,10111.362,10241.076,41683938177,akshare,深证成指,sz399001
2020-03-26,10161.942,10281.572,10112.62,10155.359,37299227467,akshare,深证成指,sz399001
2020-03-27,10300.619,10310.532,10105.719,10109.906,34500987545,akshare,深证成指,sz399001
2020-03-30,9953.036,9985.379,9791.022,9904.951,35663136928,akshare,深证成指,sz399001
2020-03-31,10008.025,10047.979,9925.68,9962.305,31534832328,akshare,深证成指,sz399001
2020-04-01,9967.116,10127.097,9927.921,9951.837,33307952567,akshare,深证成指,sz399001
2020-04-02,9910.377,10179.204,9896.646,10179.204,32820076188,akshare,深证成指,sz399001
2020-04-03,10155.563,10212.909,10069.644,10110.113,32003127097,akshare,深证成指,sz399001
2020-04-07,10312.715,10441.741,10296.72,10428.913,40185831806,akshare,深证成指,sz399001
2020-04-08,10372.763,10426.401,10344.442,10386.545,39687723477,akshare,深证成指,sz399001
2020-04-09,10453.855,10485.297,10401.171,10463.046,37741883171,akshare,深证成指,sz399001
2020-04-10,10459.699,10509.004,10265.884,10298.413,39477343661,akshare,深证成指,sz399001
2020-04-13,10225.529,10295.169,10173.123,10223.163,29803433754,akshare,深证成指,sz399001
2020-04-14,10300.962,10475.705,10276.365,10475.705,32983875791,akshare,深证成指,sz399001
2020-04-15,10468.463,10528.735,10404.509,10417.374,37919930676,akshare,深证成指,sz399001
2020-04-16,10361.766,10489.134,10346.109,10470.794,34870380920,akshare,深证成指,sz399001
2020-04-17,10562.897,10624.542,10507.803,10527.99,40149237971,akshare,深证成指,sz399001
2020-04-20,10553.548,10621.497,10523.592,10621.497,34015623714,akshare,深证成指,sz399001
2020-04-21,10577.719,10577.719,10394.439,10506.856,35933329193,akshare,深证成指,sz399001
2020-04-22,10424.45,10617.192,10409.853,10617.192,34484857059,akshare,深证成指,sz399001
2020-04-23,10657.399,10667.012,10557.943,10564.046,38280972869,akshare,深证成指,sz399001
2020-04-24,10565.087,10577.028,10388.661,10423.462,37291139586,akshare,深证成指,sz399001
2020-04-27,10449.127,10531.392,10367.292,10452.171,32036978713,akshare,深证成指,sz399001
2020-04-28,10477.762,10547.745,10194.151,10501.147,38469152976,akshare,深证成指,sz399001
2020-04-29,10460.995,10586.571,10449.373,10514.173,29023198868,akshare,深证成指,sz399001
2020-04-30,10575.524,10751.748,10575.524,10721.779,34810253127,akshare,深证成指,sz399001
2020-05-06,10618.165,10884.34,10613.888,10883.219,35016317908,akshare,深证成指,sz399001
2020-05-07,10899.917,10926.827,10832.093,10863.285,34587889048,akshare,深证成指,sz399001
2020-05-08,10923.612,11054.314,10904.884,11001.579,35434789069,akshare,深证成指,sz399001
2020-05-11,11053.815,11096.284,10902.604,10969.282,34932753998,akshare,深证成指,sz399001
2020-05-12,10972.051,11018.926,10871.614,11015.559,30928583190,akshare,深证成指,sz399001
2020-05-13,10978.312,11096.615,10954.691,11074.593,29883684044,akshare,深证成指,sz399001
2020-05-14,11026.712,11047.376,10955.538,10962.147,32504079061,akshare,深证成指,sz399001
2020-05-15,11013.155,11039.679,10919.54,10964.892,31714461969,akshare,深证成指,sz399001
2020-05-18,10969.081,11017.499,10858.455,10921.146,36207888258,akshare,深证成指,sz399001
2020-05-19,11023.428,11052.848,10978.717,11052.848,31011385021,akshare,深证成指,sz399001
2020-05-20,11056.977,11056.977,10914.754,10948.478,34539737800,akshare,深证成指,sz399001
2020-05-21,10999.07,11007.145,10818.786,10845.396,32124994307,akshare,深证成指,sz399001
2020-05-22,10832.913,10832.913,10559.298,10604.966,29971897348,akshare,深证成指,sz399001
2020-05-25,10602.471,10629.61,10532.861,10592.845,24158753245,akshare,深证成指,sz399001
2020-05-26,10655.983,10816.71,10647.251,10815.431,27086420713,akshare,深证成指,sz399001
2020-05-27,10823.243,10823.243,10657.806,10682.697,29342989795,akshare,深证成指,sz399001
2020-05-28,10680.873,10727.993,10505.787,10653.492,29705786836,akshare,深证成指,sz399001
2020-05-29,10615.136,10764.872,10588.739,10746.076,29492296256,akshare,深证成指,sz399001
2020-06-01,10837.492,11123.195,10837.492,11102.15,39028221549,akshare,深证成指,sz399001
2020-06-02,11133.616,11146.849,11059.185,11112.496,41951030331,akshare,深证成指,sz399001
2020-06-03,11154.642,11204.518,11100.689,11108.359,41899491387,akshare,深证成指,sz399001
2020-06-04,11146.293,11165.139,11080.506,11139.257,35881210901,akshare,深证成指,sz399001
2020-06-05,11153.273,11180.598,11087.249,11180.598,34249496634,akshare,深证成指,sz399001
2020-06-08,11266.935,11340.029,11195.85,11215.76,35720905420,akshare,深证成指,sz399001
2020-06-09,11238.441,11303.538,11195.003,11284.242,32997984013,akshare,深证成指,sz399001
2020-06-10,11296.135,11338.236,11249.435,11335.862,31935033954,akshare,深证成指,sz399001
2020-06-11,11328.098,11405.009,11180.754,11243.617,35685471327,akshare,深证成指,sz399001
2020-06-12,11017.146,11306.14,11003.319,11251.708,35465928370,akshare,深证成指,sz399001
2020-06-15,11241.256,11353.164,11192.273,11192.273,38922693148,akshare,深证成指,sz399001
2020-06-16,11312.807,11398.966,11293.904,11398.966,35896934264,akshare,深证成指,sz399001
2020-06-17,11421.028,11421.028,11330.369,11420.837,38276043231,akshare,深证成指,sz399001
2020-06-18,11416.078,11503.383,11397.573,11494.555,37911198940,akshare,深证成指,sz399001
2020-06-19,11505.686,11694.89,11500.53,11668.133,35928501838,akshare,深证成指,sz399001
2020-06-22,11680.405,11756.855,11658.806,11702.441,37541858460,akshare,深证成指,sz399001
2020-06-23,11711.277,11796.411,11651.826,11794.01,34738120228,akshare,深证成指,sz399001
2020-06-24,11813.363,11854.99,11760.47,11813.528,31873282282,akshare,深证成指,sz399001
2020-06-29,11780.65,11814.641,11695.45,11752.359,32520425385,akshare,深证成指,sz399001
2020-06-30,11828.527,12013.602,11827.764,11992.347,32630919779,akshare,深证成指,sz399001
2020-07-01,12024.84,12130.302,11945.893,12112.965,39396763794,akshare,深证成指,sz399001
2020-07-02,12095.85,12278.829,12055.952,12269.488,47696805257,akshare,深证成指,sz399001
2020-07-03,12295.62,12433.685,12232.704,12433.265,51287202197,akshare,深证成指,sz399001
2020-07-06,12519.496,12945.712,12519.496,12941.721,69166255381,akshare,深证成指,sz399001
2020-07-07,13084.649,13407.192,12997.167,13163.979,75451498924,akshare,深证成指,sz399001
2020-07-08,13170.2,13428.94,13059.237,13406.372,66951860527,akshare,深证成指,sz399001
2020-07-09,13399.468,13792.635,13385.426,13754.744,75903006068,akshare,深证成指,sz399001
2020-07-10,13662.384,13831.611,13599.033,13671.244,69669379772,akshare,深证成指,sz399001
2020-07-13,13699.223,14149.144,13699.223,14149.144,70838566102,akshare,深证成指,sz399001
2020-07-14,14121.33,14150.997,13698.269,13996.464,73550494077,akshare,深证成指,sz399001
2020-07-15,14017.931,14077.56,13646.662,13734.129,67093292258,akshare,深证成指,sz399001
2020-07-16,13731.284,13853.442,12966.325,12996.34,62063814461,akshare,深证成指,sz399001
2020-07-17,13002.836,13315.436,12916.08,13114.938,47508479082,akshare,深证成指,sz399001
2020-07-20,13303.803,13448.85,13032.396,13448.85,49354724980,akshare,深证成指,sz399001
2020-07-21,13480.39,13572.935,13396.582,13536.174,47222727296,akshare,深证成指,sz399001
2020-07-22,13507.354,13816.671,13459.883,13657.029,49966223474,akshare,深证成指,sz399001
2020-07-23,13511.451,13699.528,13281.55,13661.5,52657174358,akshare,深证成指,sz399001
2020-07-24,13547.807,13602.791,12868.95,12935.697,56478634459,akshare,深证成指,sz399001
2020-07-27,13013.766,13093.845,12838.868,12976.867,39712054262,akshare,深证成指,sz399001
2020-07-28,13107.433,13196.615,13022.818,13147.354,38908572627,akshare,深证成指,sz399001
2020-07-29,13117.188,13557.441,13085.951,13557.441,43729604639,akshare,深证成指,sz399001
2020-07-30,13595.771,13619.495,13432.131,13466.854,46967408102,akshare,深证成指,sz399001
2020-07-31,13464.207,13748.034,13399.859,13637.883,48559923962,akshare,深证成指,sz399001
2020-08-03,13771.745,13964.562,13712.982,13964.562,56850339890,akshare,深证成指,sz399001
2020-08-04,13966.732,14012.706,13779.221,13860.459,56731944720,akshare,深证成指,sz399001
2020-08-05,13859.318,13993.669,13726.618,13960.925,50246255102,akshare,深证成指,sz399001
2020-08-06,13972.303,13972.303,13661.845,13863.13,53398715906,akshare,深证成指,sz399001
2020-08-07,13813.762,13847.199,13411.665,13648.5,50997682640,akshare,深证成指,sz399001
2020-08-10,13576.319,13752.293,13453.945,13657.313,45214180570,akshare,深证成指,sz399001
2020-08-11,13668.306,13811.519,13450.229,13466.268,46722253651,akshare,深证成指,sz399001
2020-08-12,13437.566,13471.82,13026.011,13308.521,45004057281,akshare,深证成指,sz399001
2020-08-13,13373.163,13392.347,13254.393,13291.32,40373280808,akshare,深证成指,sz399001
2020-08-14,13272.707,13495.974,13242.779,13489.01,38847090483,akshare,深证成指,sz399001
2020-08-17,13542.014,13756.613,13490.64,13742.226,48876172050,akshare,深证成指,sz399001
2020-08-18,13748.516,13813.021,13692.074,13768.167,47454067364,akshare,深证成指,sz399001
2020-08-19,13741.273,13741.273,13472.965,13480.853,47963973983,akshare,深证成指,sz399001
2020-08-20,13387.818,13476.069,13270.115,13320.923,38886852196,akshare,深证成指,sz399001
2020-08-21,13445.963,13547.793,13373.716,13478.0,38352406489,akshare,深证成指,sz399001
2020-08-24,13565.284,13708.122,13418.961,13666.692,41096357678,akshare,深证成指,sz399001
2020-08-25,13692.466,13788.493,13620.619,13669.406,45693575430,akshare,深证成指,sz399001
2020-08-26,13680.585,13717.898,13376.661,13428.399,46552843077,akshare,深证成指,sz399001
2020-08-27,13465.894,13548.66,13348.447,13535.091,41499507993,akshare,深证成指,sz399001
2020-08-28,13509.372,13868.299,13483.283,13851.324,44122494126,akshare,深证成指,sz399001
2020-08-31,13929.747,13994.144,13755.363,13758.228,45192530906,akshare,深证成指,sz399001
2020-09-01,13729.388,13849.658,13662.686,13849.658,39923774224,akshare,深证成指,sz399001
2020-09-02,13881.073,13944.158,13737.834,13887.425,51729350587,akshare,深证成指,sz399001
2020-09-03,13871.269,13933.424,13722.576,13772.374,48294014044,akshare,深证成指,sz399001
2020-09-04,13501.911,13680.059,13487.692,13656.657,43711487716,akshare,深证成指,sz399001
2020-09-07,13633.506,13714.317,13232.242,13284.033,54163607802,akshare,深证成指,sz399001
2020-09-08,13315.148,13351.566,13118.942,13293.33,53406354089,akshare,深证成指,sz399001
2020-09-09,13107.977,13122.763,12778.43,12861.75,63718221829,akshare,深证成指,sz399001
2020-09-10,13001.383,13068.226,12709.752,12742.846,52989022001,akshare,深证成指,sz399001
2020-09-11,12711.089,12952.466,12702.622,12942.949,38394043207,akshare,深证成指,sz399001
2020-09-14,13024.556,13107.28,12921.759,13021.99,41889762034,akshare,深证成指,sz399001
2020-09-15,13032.285,13148.168,12976.028,13143.457,39016618986,akshare,深证成指,sz399001
2020-09-16,13123.496,13137.72,12947.049,13011.281,35324537128,akshare,深证成指,sz399001
2020-09-17,12970.342,13113.772,12870.992,13015.189,35395341326,akshare,深证成指,sz399001
2020-09-18,13026.105,13253.678,12987.588,13245.09,39237245188,akshare,深证成指,sz399001
2020-09-21,13280.008,13289.604,13135.241,13149.501,36664292350,akshare,深证成指,sz399001
2020-09-22,13052.085,13212.239,12981.967,13023.431,35053822109,akshare,深证成指,sz399001
2020-09-23,13044.812,13148.936,12991.661,13110.072,31823556101,akshare,深证成指,sz399001
2020-09-24,13018.303,13044.382,12816.606,12816.606,34406622390,akshare,深证成指,sz399001
2020-09-25,12876.075,12919.614,12764.265,12814.174,27281705065,akshare,深证成指,sz399001
2020-09-28,12860.091,12890.898,12752.391,12760.933,25146629069,akshare,深证成指,sz399001
2020-09-29,12843.228,12966.851,12798.65,12900.695,25244603522,akshare,深证成指,sz399001
2020-09-30,12948.971,13040.041,12834.769,12907.448,25167081632,akshare,深证成指,sz399001
2020-10-09,13161.355,13323.81,13145.755,13289.262,31769030336,akshare,深证成指,sz399001
2020-10-12,13386.345,13708.066,13382.698,13708.066,43400041288,akshare,深证成指,sz399001
2020-10-13,13678.622,13820.563,13622.951,13798.579,38115933735,akshare,深证成指,sz399001
2020-10-14,13781.56,13781.775,13664.733,13691.043,38322486622,akshare,深证成指,sz399001
2020-10-15,13702.832,13737.075,13617.082,13624.891,35563910908,akshare,深证成指,sz399001
2020-10-16,13611.913,13665.577,13439.883,13532.729,32416593250,akshare,深证成指,sz399001
2020-10-19,13638.78,13660.539,13393.022,13421.194,32947481837,akshare,深证成指,sz399001
2020-10-20,13417.222,13603.881,13371.554,13603.881,31641507511,akshare,深证成指,sz399001
2020-10-21,13613.868,13613.868,13396.541,13467.913,31773395838,akshare,深证成指,sz399001
2020-10-22,13419.392,13435.407,13252.063,13396.182,30160958132,akshare,深证成指,sz399001
2020-10-23,13405.535,13487.107,13110.018,13128.455,30244121696,akshare,深证成指,sz399001
2020-10-26,13056.301,13242.633,12922.588,13191.247,27599697393,akshare,深证成指,sz399001
2020-10-27,13159.368,13291.804,13146.551,13269.654,28786255660,akshare,深证成指,sz399001
2020-10-28,13273.499,13438.469,13188.655,13388.104,32376477727,akshare,深证成指,sz399001
2020-10-29,13219.893,13582.307,13200.778,13519.661,33388623154,akshare,深证成指,sz399001
2020-10-30,13544.285,13550.358,13204.245,13236.601,37553372701,akshare,深证成指,sz399001
2020-11-02,13269.97,13462.423,13258.163,13420.961,33921343679,akshare,深证成指,sz399001
2020-11-03,13476.583,13592.92,13414.003,13580.035,34046304419,akshare,深证成指,sz399001
2020-11-04,13586.329,13691.692,13544.83,13659.499,31304792161,akshare,深证成指,sz399001
2020-11-05,13802.179,13894.257,13728.641,13894.257,36566633754,akshare,深证成指,sz399001
2020-11-06,13932.414,13932.414,13708.749,13838.422,36601152543,akshare,深证成指,sz399001
2020-11-09,13934.37,14197.847,13934.37,14141.153,43693949290,akshare,深证成指,sz399001
2020-11-10,14121.686,14121.686,13908.208,13993.335,39435978674,akshare,深证成指,sz399001
2020-11-11,13925.436,13981.986,13715.438,13720.174,35060653876,akshare,深证成指,sz399001
2020-11-12,13789.295,13846.868,13724.336,13792.074,30252239944,akshare,深证成指,sz399001
2020-11-13,13755.285,13802.712,13620.89,13754.554,29635904483,akshare,深证成指,sz399001
2020-11-16,13811.85,13850.829,13669.255,13850.829,33617076694,akshare,深证成指,sz399001
2020-11-17,13843.012,13843.012,13628.821,13732.52,36114382431,akshare,深证成指,sz399001
2020-11-18,13710.023,13773.582,13602.692,13658.203,34749190489,akshare,深证成指,sz399001
2020-11-19,13633.972,13812.781,13578.325,13777.445,34692466429,akshare,深证成指,sz399001
2020-11-20,13789.984,13865.72,13773.214,13852.418,32938187564,akshare,深证成指,sz399001
2020-11-23,13871.711,14021.505,13795.92,13955.285,40103836200,akshare,深证成指,sz399001
2020-11-24,13958.013,13962.341,13848.909,13902.537,35527272750,akshare,深证成指,sz399001
2020-11-25,13923.659,13933.786,13656.095,13656.095,36857740314,akshare,深证成指,sz399001
2020-11-26,13651.432,13692.734,13452.676,13599.994,31760503074,akshare,深证成指,sz399001
2020-11-27,13627.855,13690.884,13542.677,13690.884,30965615119,akshare,深证成指,sz399001
2020-11-30,13720.681,13815.488,13634.157,13670.11,37001045193,akshare,深证成指,sz399001
2020-12-01,13650.389,13940.899,13646.688,13930.375,36660267826,akshare,深证成指,sz399001
2020-12-02,13950.738,13991.45,13858.445,13961.575,38731212242,akshare,深证成指,sz399001
2020-12-03,13955.979,14009.511,13889.619,13970.684,37366593151,akshare,深证成指,sz399001
2020-12-04,13933.877,14049.212,13903.836,14026.656,31852397643,akshare,深证成指,sz399001
2020-12-07,14021.161,14054.875,13958.74,13973.481,31690413877,akshare,深证成指,sz399001
2020-12-08,14000.865,14040.501,13942.663,13973.892,29238604080,akshare,深证成指,sz399001
2020-12-09,13998.617,14017.351,13710.86,13716.53,33612370731,akshare,深证成指,sz399001
2020-12-10,13672.054,13814.804,13621.127,13731.342,29010730242,akshare,深证成指,sz399001
2020-12-11,13767.479,13771.965,13431.555,13555.145,34576594649,akshare,深证成指,sz399001
2020-12-14,13583.195,13695.322,13511.779,13692.133,28984840256,akshare,深证成指,sz399001
2020-12-15,13682.275,13783.043,13641.723,13763.313,28398371806,akshare,深证成指,sz399001
2020-12-16,13791.415,13807.175,13709.804,13751.091,29690645708,akshare,深证成指,sz399001
2020-12-17,13746.281,13901.83,13688.833,13889.866,33010124461,akshare,深证成指,sz399001
2020-12-18,13911.834,13939.93,13806.619,13854.12,31286729859,akshare,深证成指,sz399001
2020-12-21,13858.659,14134.85,13819.703,14134.85,34392615276,akshare,深证成指,sz399001
2020-12-22,14085.286,14172.768,13872.499,13882.303,38539343149,akshare,深证成指,sz399001
2020-12-23,13912.519,14078.132,13897.11,14015.022,36846949303,akshare,深证成指,sz399001
2020-12-24,13998.358,14048.618,13867.66,13915.574,35696184259,akshare,深证成指,sz399001
2020-12-25,13879.236,14017.057,13835.516,14017.057,33825412481,akshare,深证成指,sz399001
2020-12-28,14020.952,14112.586,13959.143,14044.101,37325254653,akshare,深证成指,sz399001
2020-12-29,14042.795,14082.497,13915.886,13970.211,37160031942,akshare,深证成指,sz399001
2020-12-30,13970.445,14208.682,13968.09,14201.565,35191999131,akshare,深证成指,sz399001
2020-12-31,14226.284,14476.548,14226.284,14470.684,37221726383,akshare,深证成指,sz399001
2021-01-04,14516.121,14859.087,14486.252,14827.469,43549775923,akshare,深证成指,sz399001
